,name,max_diam,avg_dist_to_0082,stdev_dist_to_0082,max_diam_delta_from_0082,avg_dist_to_0082_signed
0,PB_2001-5-3_obj.obj,327.2,3.0964303542352836,3.1345384886844703,0.8000000000000114,3.0964303542352836
1,PB_L0053_obj.obj,326.3,4.033583271171964,2.9667478251230146,-0.0999999999999659,-4.033583271171964
2,PB_L0054_obj.obj,328.2,3.0551639991259507,2.789312110429171,1.8000000000000114,3.0551639991259507
3,PB_L0084_obj.obj,341.5,4.530757845440715,3.0536264977647067,15.100000000000023,4.530757845440715
4,PB_L0102_obj.obj,301.1,7.446466164255085,4.309237967134532,-25.299999999999955,-7.446466164255085
5,PB_L0177_obj.obj,315.1,3.393866012858924,2.9698375110051987,-11.299999999999955,-3.393866012858924
6,PB_L0258_obj.obj,326.6,2.865704269294875,2.1636323051679973,0.20000000000004547,2.865704269294875
7,PB_L0343_obj.obj,309.5,6.7216430805996845,3.4548447955345276,-16.899999999999977,-6.7216430805996845
8,PB_L0442_obj.obj,316.2,4.604877554932343,3.264653044915629,-10.199999999999989,-4.604877554932343
9,PB_L0082_obj.obj,326.4,0.0,0.0,0.0,0.0
